nome
Meret
Di Lorenzo
Rrahmani
Kim
Olivera
Mario Rui
Anguissa
Lobotka
Zielinski
Elmas
Politano
Lozano
Osimhen
Simeone
Raspadori
Kvaratskhelia
Zerbin
