nome
Meret
Di Lorenzo
Buongiorno
Caprile
Juan Jesus
Gilmour
Neres
McTominay
Okafor
Lukaku
Rrahmani
Billing
Rafa Marìn
Olivera
Simeone
Politano
Ngonge
Mazzocchi
Spinazzola
Lobotka
Raspadori
Kvaratskhelia
Scuffet
Anguissa
